,WindGustDir,WindDir3pm,WindDir9am,RainToday,RainTomorrow
286,S,S,ESE,No,No
287,E,ESE,E,No,No
288,WNW,NW,E,No,Yes
289,WNW,SE,N,Yes,No
290,NNW,WNW,NE,No,No
291,W,W,N,No,No
292,NE,ENE,ESE,No,Yes
293,NNE,N,NNW,Yes,Yes
294,W,WSW,W,Yes,Yes
295,NW,NW,WNW,Yes,No
296,NNW,N,NNE,No,Yes
297,WNW,W,WNW,Yes,Yes
298,W,W,WNW,Yes,No
299,W,W,W,No,No
300,NW,WNW,E,No,No
301,NNW,NNE,E,No,No
302,SSW,S,N,No,No
303,SE,SSW,S,No,Yes
304,SSE,ESE,ESE,Yes,Yes
305,NNE,SE,N,Yes,No
306,W,SW,N,No,No
307,SE,SSE,ENE,No,Yes
308,S,SSW,N,Yes,No
309,ESE,SE,E,No,No
310,SSE,S,ESE,No,No
311,SE,S,SE,No,No
312,W,NNE,SE,No,No
313,W,NE,SSE,No,Yes
314,N,NW,N,Yes,Yes
315,W,W,WNW,Yes,Yes
316,WNW,WSW,NW,Yes,Yes
317,W,WNW,W,Yes,No
318,WSW,W,SE,No,No
319,NW,ESE,SSW,No,No
320,NE,NW,WSW,No,No
321,NNW,S,SE,No,No
322,SSE,SSE,ESE,No,No
323,WSW,SSE,SE,No,No
324,WNW,SW,ENE,No,No
325,WSW,W,E,No,No
326,SE,WSW,WSW,No,No
327,SE,SSE,SE,No,No
328,ENE,NNE,S,No,No
329,W,SE,SE,No,No
330,NNW,N,SE,No,No
331,WSW,S,SE,No,No
332,SSE,SE,E,No,No
333,WNW,SE,SE,No,No
334,S,SE,SE,No,No
335,W,W,W,No,No
336,WNW,WNW,WSW,No,No
337,NE,SE,SE,No,No
338,SSE,S,SE,No,No
339,S,S,SE,No,No
340,SSE,E,SE,No,No
341,WSW,SSE,ESE,No,No
342,SW,SW,SE,No,No
343,ESE,SE,SSE,No,No
344,WSW,SW,E,No,No
345,SE,SSE,SE,No,No
346,W,SSW,SSE,No,No
347,W,W,ENE,No,No
348,W,S,SSE,No,No
349,SSE,SSE,SSE,No,No
350,N,W,S,No,No
351,NW,WNW,NNE,No,No
352,NW,WNW,SSE,No,Yes
353,NE,SSE,NE,Yes,Yes
354,NNW,W,N,Yes,No
355,W,S,WSW,No,No
356,WNW,S,SSE,No,No
357,SE,S,S,No,No
358,N,WNW,SE,No,Yes
359,N,SE,NE,Yes,No
360,W,NW,WNW,No,Yes
361,WNW,WNW,WSW,Yes,Yes
362,SE,SE,SSE,Yes,No
363,E,SE,SE,No,No
364,WNW,WSW,SSE,No,No
365,W,NNW,S,No,No
366,WSW,SW,SW,No,No
367,W,WSW,SE,No,No
368,W,W,NE,No,No
369,W,NW,ENE,No,No
370,SW,SW,WSW,No,Yes
371,WNW,NW,SSW,Yes,No
372,W,W,SE,No,No
373,SW,SW,WSW,No,No
374,WSW,SW,ENE,No,No
375,SW,WSW,SSE,No,No
376,SSE,SSE,SSE,No,No
377,SSW,S,SE,No,No
378,NNW,NNE,SSE,No,No
379,NW,WNW,S,No,Yes
380,W,W,NW,Yes,No
381,WSW,WSW,SSE,No,No
382,NNW,ESE,SSE,No,No
383,NW,NW,ESE,No,No
384,WSW,SW,ENE,No,No
385,E,N,SE,No,No
386,NNE,NNW,N,No,Yes
387,SE,NNE,N,Yes,No
388,N,NW,SSE,No,No
389,ENE,NE,S,No,No
390,SE,WSW,SW,No,No
391,SSE,NE,ENE,No,No
392,N,NE,S,No,No
393,N,NE,ENE,No,Yes
394,NNE,WNW,NW,Yes,Yes
395,W,W,S,Yes,No
396,W,SW,SSW,No,No
397,SW,NNW,ENE,No,No
398,W,NW,E,No,No
399,WNW,W,ENE,No,No
400,SSE,SE,NE,No,No
401,N,WNW,SE,No,No
402,W,W,ESE,No,No
403,WSW,SW,E,No,No
404,NE,NNW,SE,No,No
405,NNW,NNW,S,No,No
406,SW,WNW,WSW,No,Yes
407,SSW,SSE,SSE,Yes,No
408,NNW,NE,SE,No,No
409,W,W,N,No,No
410,WNW,W,W,No,No
411,SW,WSW,W,No,No
412,W,WSW,W,No,No
413,W,WNW,SSE,No,No
414,W,WNW,SE,No,No
415,NNW,NNW,SE,No,No
416,WSW,W,WNW,No,No
417,SSW,WNW,SSE,No,No
418,WNW,WSW,E,No,No
419,WSW,WSW,N,No,No
420,W,WSW,S,No,No
421,NW,WNW,SE,No,No
422,SSE,NNE,SE,No,No
423,NE,NW,SSE,No,No
424,NE,E,ENE,No,No
425,E,SSE,S,No,Yes
426,ENE,NE,SSE,Yes,No
427,E,ESE,SSE,No,No
428,NNW,SE,ENE,No,Yes
429,SE,SSW,S,Yes,Yes
430,SE,SE,SE,Yes,No
431,SE,E,SE,No,No
432,NNW,ESE,ESE,No,No
433,SSW,S,N,No,No
434,SW,NNW,N,No,No
435,NE,NE,E,No,No
436,SE,SE,SSE,No,No
437,ESE,SE,SSW,No,No
438,SE,E,SSE,No,No
439,ESE,SSW,SSE,No,No
440,NNE,WNW,E,No,No
441,NW,N,SE,No,No
442,SSW,SE,SE,No,Yes
443,E,NW,ENE,Yes,No
444,W,SSE,W,No,No
445,SE,SE,SE,No,No
446,NNW,ESE,ESE,No,No
447,NE,E,SE,No,Yes
448,W,W,N,Yes,No
449,SSE,ESE,SE,No,No
450,ENE,ENE,N,No,No
451,W,S,SE,No,No
452,NE,NE,NE,No,Yes
453,WSW,N,W,Yes,Yes
454,SE,E,NW,Yes,Yes
455,NW,NNW,N,Yes,Yes
456,NW,WNW,WNW,Yes,No
457,SSE,SE,SE,No,No
458,NNE,W,S,No,No
459,SE,E,N,No,No
460,SE,SSE,SSE,No,No
461,E,SSW,N,No,No
462,ENE,SSW,N,No,No
463,SSW,W,N,No,No
464,SSE,W,SE,No,No
465,W,WNW,SSE,No,No
466,W,SW,SSE,No,No
467,W,WSW,N,No,No
468,WNW,WNW,SSE,No,No
469,WNW,WNW,S,No,No
470,S,W,N,No,No
471,NNW,NNW,E,No,No
472,WNW,WNW,N,No,No
473,E,S,N,No,No
474,W,N,ENE,No,Yes
475,WNW,WNW,W,Yes,No
476,SSW,WSW,N,No,No
477,SSE,NE,SSE,No,No
478,WNW,NW,ESE,No,No
479,SE,S,N,No,No
480,NE,NE,N,No,No
481,SE,N,SE,No,No
482,SE,ENE,SSE,No,No
483,NE,ENE,N,No,Yes
484,N,WNW,NNE,Yes,Yes
485,NW,WSW,WNW,Yes,No
486,E,SSE,SE,No,No
487,WNW,NE,NE,No,Yes
488,WNW,W,NW,Yes,No
489,SW,SW,W,No,No
490,SW,W,SSW,No,No
491,SSE,SSW,E,No,No
492,SE,S,N,No,No
493,SSE,SSE,S,No,No
494,ESE,SSE,ENE,No,No
495,SSW,S,N,No,No
496,ESE,SSE,N,No,No
497,ENE,E,SSE,No,No
498,NW,SSW,ENE,No,No
499,WSW,SSW,N,No,No
500,NNW,NNW,ESE,No,Yes
501,NNW,NNW,NNE,Yes,Yes
502,W,W,WSW,Yes,No
503,SSE,S,E,No,No
504,ENE,ENE,N,No,Yes
505,NW,WNW,NE,Yes,No
506,W,WSW,WSW,No,No
507,ESE,ESE,N,No,No
508,N,NE,N,No,No
509,SSW,ESE,NE,No,No
510,NNW,NE,N,No,No
511,WNW,N,WSW,No,Yes
512,W,W,NW,Yes,No
513,W,W,NW,No,No
514,W,WNW,S,No,No
515,SSE,SE,N,No,No
516,ENE,SSE,E,No,No
517,ENE,NE,S,No,No
518,WSW,WSW,WNW,No,No
519,W,W,ESE,No,No
520,W,W,N,No,No
521,SE,SE,E,No,No
522,SE,ENE,N,No,No
523,ESE,SW,N,No,No
524,ESE,SSE,S,No,No
525,WNW,WNW,NNW,No,No
526,W,NW,N,No,No
527,N,WSW,N,No,No
528,SSE,SSE,N,No,No
529,ESE,SSE,N,No,No
530,NNW,NNW,ESE,No,No
531,ESE,ESE,ESE,No,Yes
532,E,SSE,E,Yes,Yes
533,SSE,SSE,SE,Yes,No
534,SSE,SSE,N,No,No
535,ENE,NE,N,No,Yes
536,N,SE,E,Yes,Yes
537,SE,SSE,SSW,Yes,No
538,SSE,SE,SSE,No,No
539,SE,SE,N,No,No
540,W,SSW,N,No,No
541,SSE,SE,N,No,No
542,W,W,N,No,No
543,SW,WSW,ESE,No,No
544,SW,ENE,SE,No,No
545,S,S,N,No,No
546,WNW,WNW,SSE,No,No
547,WNW,WNW,NNW,No,Yes
548,W,WSW,WSW,Yes,No
549,W,WSW,WSW,No,No
550,W,S,N,No,No
551,ESE,SSE,NNW,No,No
552,ESE,E,N,No,No
553,SSE,ESE,SE,No,No
554,NNW,E,E,No,Yes
555,W,WNW,NNW,Yes,Yes
556,W,W,NW,Yes,Yes
557,WNW,NW,WNW,Yes,No
558,NW,SSW,N,No,No
559,W,W,S,No,No
560,SE,SE,N,No,No
561,E,E,N,No,No
562,ENE,E,E,No,No
563,NNE,SE,E,No,Yes
564,WNW,N,WNW,Yes,No
565,W,NW,SW,No,No
566,NNW,WSW,SE,No,No
567,N,N,ENE,No,No
568,N,NNW,SSE,No,Yes
569,NNE,SW,N,Yes,No
570,ESE,SSE,S,No,No
571,NNW,SW,N,No,No
572,E,SE,SSE,No,No
573,SE,SE,SSE,No,Yes
574,SSE,W,WNW,Yes,No
575,NNE,WNW,N,No,No
576,ESE,NE,N,No,No
577,ENE,ESE,N,No,No
578,N,NNE,NNW,No,Yes
579,N,NW,W,Yes,No
580,SE,SE,E,No,No
581,WNW,E,NW,No,Yes
582,NW,NW,NW,Yes,Yes
583,WNW,W,W,Yes,No
584,ENE,NNW,NNE,No,No
585,E,SE,ESE,No,No
586,ENE,N,NE,No,Yes
587,NW,S,S,Yes,No
588,WNW,WNW,SSE,No,No
589,W,SSW,N,No,No
590,SW,SW,N,No,No
591,W,W,E,No,No
592,W,W,ENE,No,No
593,W,N,S,No,No
594,WSW,W,N,No,No
595,SSE,ESE,N,No,No
596,ESE,ESE,N,No,Yes
597,NW,WSW,N,Yes,No
598,NNE,N,ENE,No,Yes
599,W,NW,WSW,Yes,Yes
600,WNW,WSW,N,Yes,Yes
601,W,WSW,W,Yes,No
602,WNW,WNW,N,No,No
603,WSW,WNW,N,No,No
604,NW,WNW,SE,No,No
605,ESE,SW,N,No,No
606,SSE,ESE,N,No,No
607,E,NE,NW,No,Yes
608,NNW,N,E,Yes,Yes
609,NNE,N,NE,Yes,Yes
610,SW,WSW,W,Yes,No
611,W,SW,N,No,No
612,ENE,NE,NE,No,Yes
613,WNW,N,NNE,Yes,Yes
614,W,W,N,Yes,Yes
615,E,NE,N,Yes,No
616,ENE,NE,N,No,Yes
617,NW,NW,NNW,Yes,Yes
618,W,WNW,WNW,Yes,No
619,WNW,W,WNW,No,No
620,N,NW,E,No,No
621,NW,WNW,SSE,No,Yes
622,WNW,NNW,NW,Yes,Yes
623,WNW,NNW,WNW,Yes,Yes
624,NW,WNW,NNW,Yes,Yes
625,NW,WSW,WNW,Yes,No
626,WSW,W,ENE,No,No
627,WSW,NW,W,No,No
628,WNW,NW,N,No,No
629,N,NE,S,No,No
630,NW,SW,SSW,No,No
631,SSE,W,N,No,No
632,SE,E,SSE,No,Yes
633,N,N,NE,Yes,Yes
634,NNW,W,NW,Yes,Yes
635,NW,W,NW,Yes,Yes
636,SW,WSW,SE,Yes,No
637,NNE,ENE,ESE,No,No
638,ENE,ENE,SE,No,Yes
639,W,W,WNW,Yes,Yes
640,WNW,WNW,S,Yes,No
641,N,NW,ESE,No,No
642,W,WNW,E,No,No
643,WSW,SE,SE,No,No
644,WSW,WNW,W,No,No
645,WSW,W,W,No,No
646,SW,WSW,W,No,No
647,W,W,WNW,No,No
648,W,W,E,No,No
649,W,W,SSE,No,No
650,W,WNW,E,No,No
651,W,SE,W,No,No
652,W,W,N,No,No
653,NE,WNW,E,No,No
654,NW,NNW,S,No,No
655,WSW,WNW,N,No,No
656,WNW,WNW,NW,No,No
657,W,WNW,WNW,No,No
658,W,W,W,No,No
659,NNW,WNW,E,No,No
660,NE,NE,NW,No,No
661,NE,NE,SE,No,No
662,NE,NNE,SSE,No,No
663,NE,NNW,WNW,No,No
664,NE,SE,ESE,No,No
665,W,N,ESE,No,Yes
666,WSW,WSW,W,Yes,No
667,W,WNW,SE,No,No
668,N,ESE,SSW,No,No
669,NE,NE,W,No,No
670,E,NNE,SE,No,No
671,NNE,ENE,ESE,No,Yes
672,WSW,E,NNE,Yes,Yes
673,W,W,NNW,Yes,Yes
674,WNW,NE,NNW,Yes,Yes
675,W,W,WSW,Yes,No
676,WNW,NW,WNW,No,No
677,W,WNW,NW,No,No
678,WNW,WSW,W,No,No
679,SE,SSE,N,No,No
680,N,SSW,N,No,No
681,NNE,N,E,No,No
682,W,NW,W,No,Yes
683,SSE,S,SE,Yes,No
684,WNW,WNW,SSE,No,No
685,WNW,NW,SE,No,Yes
686,WNW,W,S,Yes,No
687,NE,NNE,SSE,No,No
688,NE,ENE,E,No,Yes
689,NE,ENE,SE,Yes,Yes
690,NNW,NNW,N,Yes,Yes
691,W,W,W,Yes,No
692,SW,WSW,WSW,No,No
693,WNW,WNW,W,No,No
694,SSE,E,SE,No,No
695,ENE,SE,SE,No,No
696,ENE,NNE,SE,No,No
697,W,N,SE,No,Yes
698,NW,WSW,N,Yes,No
699,SSW,S,SE,No,No
700,WSW,NNW,E,No,No
701,N,NNE,SSE,No,No
702,NNE,NE,NE,No,No
703,ENE,ENE,E,No,Yes
704,N,WNW,WNW,Yes,Yes
705,W,W,W,Yes,No
706,W,WSW,W,No,No
707,W,W,E,No,No
708,W,WNW,ENE,No,No
709,SE,S,SSE,No,No
710,NE,SSE,E,No,No
711,N,W,E,No,No
712,ENE,NNE,SE,No,No
713,N,NNE,ENE,No,No
714,N,NNE,NNE,No,No
715,W,WSW,ENE,No,Yes
716,WSW,ENE,NNW,Yes,Yes
717,N,N,SE,Yes,Yes
718,NNE,NW,NNW,Yes,Yes
719,SSE,SE,SE,Yes,Yes
720,SE,NE,SE,Yes,Yes
721,SE,SE,SE,Yes,No
722,NW,S,ESE,No,Yes
723,NNE,S,SE,Yes,Yes
724,WSW,WNW,SSW,Yes,No
725,SSE,SE,SSE,No,No
726,ENE,NE,SE,No,No
727,NNE,NE,NE,No,Yes
728,NNW,NNE,NNE,Yes,Yes
729,W,WNW,W,Yes,No
730,WNW,W,WNW,No,No
731,WNW,WNW,W,No,No
732,NW,WNW,W,No,No
733,WNW,SW,ESE,No,No
734,ENE,NE,SE,No,No
735,NNE,NNW,ENE,No,No
736,W,WSW,W,No,No
737,NW,W,NE,No,No
738,WNW,W,NNW,No,Yes
739,W,NNW,ENE,Yes,Yes
740,WSW,WSW,W,Yes,Yes
741,WSW,W,WSW,Yes,No
742,SW,SE,ESE,No,No
743,SW,WSW,N,No,No
744,NE,ENE,SE,No,No
745,SSE,N,NE,No,No
746,SW,W,E,No,No
747,W,W,W,No,No
748,SSE,ENE,SE,No,No
749,NW,SW,N,No,No
750,SW,WSW,ESE,No,No
751,N,N,ESE,No,No
752,ENE,WSW,S,No,No
753,W,WSW,SW,No,No
754,WNW,WNW,SSE,No,No
755,SSE,SE,SE,No,No
756,SSE,SW,ENE,No,No
757,NNE,N,SE,No,No
758,NNE,SW,NNE,No,No
759,ENE,E,N,No,No
760,ENE,SSE,SE,No,Yes
761,ENE,ENE,SSE,Yes,Yes
762,NE,NNE,SE,Yes,Yes
763,NE,NW,NE,Yes,Yes
764,NE,ENE,ESE,Yes,Yes
765,NE,NNE,NE,Yes,Yes
766,WSW,SSE,SE,Yes,No
767,WSW,NW,S,No,No
768,WSW,W,WNW,No,No
769,W,S,S,No,No
770,NE,SE,E,No,No
771,E,NNE,SSE,No,No
772,N,NNW,SE,No,No
773,NE,N,ESE,No,No
774,ENE,S,E,No,No
775,WSW,W,N,No,No
776,SW,W,S,No,No
777,SW,SSW,S,No,No
778,WSW,WSW,N,No,No
779,E,SSE,SE,No,No
780,NW,NNW,ENE,No,No
781,SSE,ESE,SE,No,No
782,S,S,SSE,No,No
783,NW,NW,E,No,No
784,NNE,N,NNE,No,Yes
785,WNW,W,N,Yes,Yes
786,WNW,SE,S,Yes,Yes
787,NW,NW,NE,Yes,Yes
788,WSW,W,WNW,Yes,No
789,SSE,WNW,SSE,No,No
790,SE,SE,ESE,No,No
791,NNE,E,S,No,No
792,N,ENE,SSE,No,Yes
793,SW,NNW,NE,Yes,Yes
794,WNW,WNW,W,Yes,No
795,SSE,S,SSE,No,No
796,ENE,E,E,No,No
797,ESE,N,ESE,No,No
798,ENE,NE,N,No,Yes
799,ESE,SSE,N,Yes,No
800,ESE,E,SE,No,Yes
801,NNE,NW,N,Yes,Yes
802,WNW,WNW,WSW,Yes,No
803,W,W,WSW,No,No
804,SW,SSW,SSE,No,No
805,WSW,W,ESE,No,No
806,WSW,WSW,NE,No,No
807,WNW,NNW,S,No,No
808,W,N,SSE,No,No
809,WNW,NE,SSW,No,Yes
810,SE,ESE,SSE,Yes,No
811,WSW,WSW,W,No,No
812,WNW,WNW,S,No,No
813,WSW,WSW,ESE,No,No
814,W,W,ENE,No,No
815,SE,E,SSE,No,No
816,E,S,N,No,No
817,SE,NNE,ESE,No,No
818,NE,NNE,E,No,No
819,NNE,NNW,N,No,Yes
820,N,ENE,ENE,Yes,Yes
821,E,SE,N,Yes,No
822,ENE,NNE,N,No,No
823,SW,NE,N,No,Yes
824,SSE,SE,S,Yes,No
825,E,NE,SE,No,No
826,SW,W,E,No,No
827,WNW,SSE,SSW,No,No
828,SE,SSE,SSE,No,No
829,NNE,ENE,SSE,No,No
830,SE,ENE,SE,No,No
831,E,NE,SSE,No,No
832,WNW,WNW,N,No,No
833,W,WNW,NNW,No,Yes
834,WNW,WNW,NNW,Yes,No
835,WNW,WSW,W,No,No
836,SSE,SE,NNW,No,No
837,S,S,N,No,No
838,E,ENE,S,No,No
839,NE,ENE,N,No,No
840,SW,NW,ESE,No,No
841,SSE,SE,N,No,No
842,NE,S,N,No,No
843,WNW,SSW,N,No,No
844,SSE,SE,N,No,No
845,W,NW,N,No,No
846,SE,E,N,No,No
847,SSW,SSE,N,No,No
848,SE,ESE,N,No,No
849,WNW,WNW,N,No,No
850,SSE,SSE,ESE,No,No
851,NW,NW,N,No,Yes
852,W,WNW,WNW,Yes,No
853,WSW,NE,SSW,No,Yes
854,W,WNW,WNW,Yes,Yes
855,W,WSW,W,Yes,No
856,W,WSW,N,No,No
857,W,W,SE,No,No
858,E,ESE,N,No,No
859,E,ENE,E,No,No
